frequency,Smag
7.987140000000000000e+09,1.946559999999999957e-01
8.038250000000000000e+09,1.936460000000000126e-01
8.089700000000000000e+09,1.934829999999999883e-01
8.141470000000000000e+09,1.938300000000000023e-01
8.193580000000000000e+09,1.943719999999999892e-01
8.246020000000000000e+09,1.948459999999999914e-01
8.298790000000000000e+09,1.950520000000000032e-01
8.351900000000000000e+09,1.948560000000000014e-01
8.405360000000000000e+09,1.941769999999999885e-01
8.459150000000000000e+09,1.929839999999999889e-01
8.513290000000000000e+09,1.912850000000000106e-01
8.567770000000000000e+09,1.891210000000000113e-01
8.622610000000000000e+09,1.865580000000000016e-01
8.677790000000000000e+09,1.836830000000000129e-01
8.733330000000000000e+09,1.805950000000000055e-01
8.789220000000000000e+09,1.774010000000000031e-01
8.845470000000000000e+09,1.742039999999999977e-01
8.902090000000000000e+09,1.710990000000000011e-01
8.959060000000000000e+09,1.681650000000000089e-01
9.016400000000000000e+09,1.654629999999999990e-01
9.074100000000000000e+09,1.630300000000000082e-01
9.132180000000000000e+09,1.608819999999999972e-01
9.190620000000000000e+09,1.590179999999999927e-01
9.249440000000000000e+09,1.574210000000000054e-01
9.308640000000000000e+09,1.560670000000000113e-01
9.368210000000000000e+09,1.549260000000000081e-01
9.428170000000000000e+09,1.539689999999999948e-01
9.488510000000000000e+09,1.531730000000000036e-01
9.549240000000000000e+09,1.525209999999999899e-01
9.610350000000000000e+09,1.520029999999999992e-01
9.671860000000000000e+09,1.516170000000000018e-01
9.733760000000000000e+09,1.513670000000000015e-01
9.796050000000000000e+09,1.512550000000000006e-01
9.858750000000000000e+09,1.512789999999999968e-01
9.921840000000000000e+09,1.514280000000000070e-01
9.985340000000000000e+09,1.516780000000000073e-01
1.004930000000000000e+10,1.519899999999999862e-01
1.011360000000000000e+10,1.523120000000000029e-01
1.017830000000000000e+10,1.525849999999999984e-01
1.024340000000000000e+10,1.527459999999999929e-01
1.030900000000000000e+10,1.527380000000000126e-01
1.037500000000000000e+10,1.525170000000000137e-01
1.044140000000000000e+10,1.520589999999999997e-01
1.050820000000000000e+10,1.513680000000000025e-01
1.057540000000000000e+10,1.504749999999999976e-01
1.064310000000000000e+10,1.494449999999999945e-01
1.071120000000000000e+10,1.483750000000000069e-01
1.077980000000000000e+10,1.473800000000000110e-01
