frequency,Smag
7.987140000000000000e+09,2.888569999999999749e-01
8.038250000000000000e+09,2.863740000000000174e-01
8.089700000000000000e+09,2.849149999999999738e-01
8.141470000000000000e+09,2.841170000000000084e-01
8.193580000000000000e+09,2.836339999999999972e-01
8.246020000000000000e+09,2.831770000000000120e-01
8.298790000000000000e+09,2.825239999999999974e-01
8.351900000000000000e+09,2.815139999999999865e-01
8.405360000000000000e+09,2.800449999999999884e-01
8.459150000000000000e+09,2.780560000000000254e-01
8.513290000000000000e+09,2.755239999999999911e-01
8.567770000000000000e+09,2.724550000000000027e-01
8.622610000000000000e+09,2.688780000000000059e-01
8.677790000000000000e+09,2.648469999999999991e-01
8.733330000000000000e+09,2.604279999999999928e-01
8.789220000000000000e+09,2.557019999999999849e-01
8.845470000000000000e+09,2.507539999999999769e-01
8.902090000000000000e+09,2.456699999999999995e-01
8.959060000000000000e+09,2.405279999999999918e-01
9.016400000000000000e+09,2.353909999999999891e-01
9.074100000000000000e+09,2.303080000000000127e-01
9.132180000000000000e+09,2.253040000000000043e-01
9.190620000000000000e+09,2.203910000000000036e-01
9.249440000000000000e+09,2.155620000000000036e-01
9.308640000000000000e+09,2.108009999999999884e-01
9.368210000000000000e+09,2.060839999999999894e-01
9.428170000000000000e+09,2.013850000000000084e-01
9.488510000000000000e+09,1.966809999999999947e-01
9.549240000000000000e+09,1.919480000000000075e-01
9.610350000000000000e+09,1.871720000000000050e-01
9.671860000000000000e+09,1.823390000000000011e-01
9.733760000000000000e+09,1.774429999999999896e-01
9.796050000000000000e+09,1.724799999999999944e-01
9.858750000000000000e+09,1.674519999999999897e-01
9.921840000000000000e+09,1.623620000000000063e-01
9.985340000000000000e+09,1.572149999999999936e-01
1.004930000000000000e+10,1.520130000000000092e-01
1.011360000000000000e+10,1.467590000000000006e-01
1.017830000000000000e+10,1.414479999999999904e-01
1.024340000000000000e+10,1.360740000000000005e-01
1.030900000000000000e+10,1.306209999999999871e-01
1.037500000000000000e+10,1.250680000000000125e-01
1.044140000000000000e+10,1.193899999999999961e-01
1.050820000000000000e+10,1.135580000000000062e-01
1.057540000000000000e+10,1.075450000000000017e-01
1.064310000000000000e+10,1.013249999999999984e-01
1.071120000000000000e+10,9.488259999999999750e-02
1.077980000000000000e+10,8.821519999999999362e-02
1.084880000000000000e+10,8.133460000000000689e-02
1.091820000000000000e+10,7.427010000000000556e-02
1.098810000000000000e+10,6.706679999999999586e-02
1.105840000000000000e+10,5.978200000000000180e-02
1.112920000000000000e+10,5.247929999999999956e-02
1.120040000000000000e+10,4.522140000000000187e-02
1.127210000000000000e+10,3.806550000000000211e-02
1.134420000000000000e+10,3.106499999999999886e-02
1.141680000000000000e+10,2.428879999999999928e-02
1.148990000000000000e+10,1.789079999999999837e-02
1.156350000000000000e+10,1.236609999999999966e-02
1.163750000000000000e+10,9.388679999999999942e-03
1.171190000000000000e+10,1.131580000000000086e-02
1.178690000000000000e+10,1.665190000000000073e-02
1.186230000000000000e+10,2.328639999999999877e-02
1.193820000000000000e+10,3.049970000000000112e-02
1.201470000000000000e+10,3.806059999999999999e-02
1.209150000000000000e+10,4.587419999999999692e-02
